user_pseudo_id,item_id,interaction,event_timestamp
8879718.778108442,GGOEGDHB107099,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGBJJ099699,3,2020-12-25 09:42:45.090492
60389702.20861299,GGOEGXXX1253,1,2020-12-25 21:18:12.328905
60389702.20861299,GGCOGXXX1569,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1175,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1265,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1193,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1267,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEYXXX1202,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEAXXX1297,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1264,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1189,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEYXXX1203,1,2020-12-25 21:18:12.328905
60389702.20861299,GGOEGXXX1266,1,2020-12-25 21:18:12.328905
50478393.85870997,GGOEGXXX1190,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEAXXX1308,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1369,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1347,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1189,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1342,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1352,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1613,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGHBJ101899,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGXXX1109,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOECXXX1630,1,2021-01-31 18:17:19.707267
50478393.85870997,GGOEGAEB105210,1,2021-01-31 18:17:19.707267
5563930.359310139,GGOEGXXX1181,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1384,1,2021-01-01 21:41:46.787736
5563930.359310139,GGCOGXXX1007,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1264,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1344,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1193,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1343,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX0963,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1265,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1267,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1078,1,2021-01-01 21:41:46.787736
5563930.359310139,GGOEGXXX1384,1,2021-01-01 21:41:46.787736
17007406.839118168,GGOEGOCA121699,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGOLC014299,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGFKA022299,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGFKQ020399,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEYOLB151999,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGOAA101199,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGOAQ101299,1,2021-01-01 15:28:20.434982
17007406.839118168,GGOEGOAC089999,1,2021-01-01 15:28:20.434982
